Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-31,36.997,37.308,26.919,30.292,17063142
2008-02-29,30.789,33.229,28.205,28.273,7717210
2008-03-31,27.752,31.967,26.373,31.52,8824884
2008-04-30,31.621,33.178,28.265,30.839,5943174
2008-05-30,31.73,35.323,30.713,31.546,7444878
2008-06-30,31.975,33.817,25.118,25.556,8571076
2008-07-31,25.573,25.573,20.829,24.715,8848550
2008-08-29,24.825,25.91,20.114,21.03,7748841
2008-09-30,20.483,22.888,16.926,18.381,10690259
2008-10-31,18.045,19.011,11.315,13.627,18395827
2008-11-28,13.746,14.208,8.9162,13.443,11789607
2008-12-31,13.174,15.647,11.475,12.769,16044886
2009-01-30,13.417,13.661,10.549,11.104,8740888
2009-02-27,10.977,11.399,9.4216,11.171,15269295
2009-03-31,10.684,13.283,10.608,12.45,12151360
2009-04-30,12.45,15.647,11.988,15.142,12693887
2009-05-29,15.647,16.067,13.897,15.815,11530625
2009-06-30,16.067,20.862,16.026,18.549,10826386
2009-07-31,18.507,22.713,16.53,21.872,11088465
2009-08-31,21.586,22.982,19.769,21.41,8585233
2009-09-30,21.368,22.292,18.811,20.274,8674335
2009-10-30,20.274,22.923,19.517,21.317,9806521
2009-11-30,20.862,21.493,18.843,20.021,8591156
2009-12-31,20.088,22.292,19.533,21.577,11210842
2010-01-29,21.535,22.141,19.769,20.189,6961212
2010-02-26,19.861,20.164,16.319,17.505,8728244
2010-03-31,17.665,20.862,17.665,20.862,12376692
2010-04-30,20.61,21.451,19.231,19.684,8425045
2010-05-31,19.684,20.61,17.414,20.189,9662697
2010-06-30,19.945,20.442,18.826,19.575,4847976
2010-07-30,19.095,20.602,18.7,20.274,5160303
2010-08-31,20.61,20.736,18.104,19.13,5199981
2010-09-30,18.928,19.592,18.137,18.76,5460209
2010-10-29,18.591,19.643,18.119,19.517,5987486
2010-11-30,19.432,20.946,19.029,19.954,10648854
2010-12-31,19.954,21.191,19.314,20.61,8945748
2011-01-31,20.677,20.862,17.202,17.64,21523830
2011-02-28,17.64,18.313,17.144,17.784,11600247
2011-03-31,17.909,18.003,16.446,17.902,17065386
2011-04-29,17.968,18.331,17.169,17.414,6565298
2011-05-31,17.414,17.817,14.73,16.816,10885630
2011-06-30,16.824,16.909,15.268,15.647,10437386
2011-07-29,15.647,15.647,13.082,13.88,8655941
2011-08-31,14.049,14.301,9.0685,10.179,26664349
2011-09-30,10.145,10.23,7.672,9.918,24033610
2011-10-31,9.413,10.725,8.9162,9.59,10525917
2011-11-30,9.0348,9.901,7.2009,8.2171,13356616
2011-12-30,8.3701,8.3701,7.2009,7.8223,10480864
2012-01-31,7.7476,9.337,6.612,8.8966,17130042
2012-02-29,8.9592,9.65,7.0746,7.3723,23356555
2012-03-30,7.243,7.285,5.0558,5.6371,36650729
2012-04-30,5.6362,6.4359,5.1062,6.0687,28927810
2012-05-31,6.1662,6.1997,4.8118,5.3066,40502234
2012-06-29,5.3158,6.2891,4.71,5.8483,29084189
2012-07-31,5.83,6.0594,5.4168,5.7197,9291331
2012-08-31,5.7382,5.9585,5.2974,5.7474,7273150
2012-09-28,5.8483,7.3448,5.6005,6.8306,22262850
2012-10-31,6.8031,7.7946,6.8031,7.5468,19010959
2012-11-30,7.6937,7.9783,7.0051,7.8865,14841023
2012-12-31,7.9783,9.3649,7.9783,9.089,8719119
2013-01-31,9.1812,9.4101,7.758,7.9049,20794214
2013-02-28,7.9049,8.1528,6.794,7.4826,10893224
2013-03-29,7.5192,8.2078,6.8123,7.0234,10991992
2013-04-30,7.1428,7.4826,6.6654,7.1888,6747562
2013-05-31,7.1797,7.8865,6.5645,7.8039,12478138
2013-06-28,7.7855,8.6118,7.1337,7.5285,11789053
2013-07-31,7.5285,7.9416,6.9317,7.4183,4977584
2013-08-30,7.354,8.2537,6.8031,7.0694,7156886
2013-09-30,7.0694,7.2622,6.0411,6.6471,13966969
2013-10-31,6.6471,7.8039,6.5736,7.3265,7420035
2013-11-29,7.4826,8.1712,6.9041,7.7029,5304689
2013-12-31,7.7396,7.7671,6.5369,6.8399,7515476
2014-01-31,6.8491,7.1153,6.2891,6.8031,14737568
2014-02-28,6.8674,6.9776,6.3532,6.7664,11132703
2014-03-31,6.5186,6.7022,5.9677,6.6195,15870644
2014-04-30,6.6654,6.9959,6.491,6.9409,6345912
2014-05-30,6.9592,7.3815,6.5645,7.3448,7663329
2014-06-30,7.3908,7.6754,7.1061,7.2254,8747504
2014-07-31,7.2254,7.2438,6.3441,6.4083,9069155
2014-08-29,6.3808,6.5369,5.3342,5.4168,6051417
2014-09-30,5.4535,5.7382,4.8109,5.1414,14263148
2014-10-31,5.1323,5.582,4.866,5.582,5708207
2014-11-28,5.6005,5.6464,5.2057,5.6464,4156000
2014-12-31,5.6371,5.6371,4.8291,4.9485,9119207
2015-01-30,5.0129,5.2699,4.1774,4.4068,24112791
2015-02-27,4.4161,4.4895,4.1498,4.4712,5626877
2015-03-31,4.4712,5.1965,4.3334,5.1689,7950733
2015-04-30,5.1505,5.7749,4.9854,5.6831,7161055
2015-05-29,5.6831,5.8759,5.2423,5.2423,6281924
2015-06-30,5.2699,5.9218,5.1873,5.5086,6677825
2015-07-31,5.5086,5.6005,5.2608,5.4168,1657138
2015-08-31,5.4168,5.986,5.2699,5.4168,2438101
2015-09-30,5.4168,5.8838,5.258,5.8371,6803234
2015-10-30,5.7997,6.8271,5.7717,6.2761,3577432
2015-11-30,6.22,7.0979,6.0892,6.7056,15891598
2015-12-31,6.5935,6.9392,6.0332,6.6776,14424360
2016-01-29,6.6776,6.8177,6.1733,6.4441,3528072
2016-02-29,6.4441,6.6309,6.1266,6.3041,2885513
2016-03-31,6.3321,6.8831,6.2573,6.5935,8286317
2016-04-29,6.6216,6.9111,6.4909,6.5842,12905260
2016-05-31,6.6869,6.6869,6.0892,6.22,3603477
2016-06-30,6.164,6.6309,5.7157,6.2106,7874979
2016-07-29,6.22,6.5842,6.0706,6.5842,2384116
2016-08-31,6.6309,6.9858,6.3788,6.7243,2506753
2016-09-30,6.7243,8.0318,6.5189,7.7049,13863842
2016-10-31,7.901,7.9291,7.2193,7.4995,5035295
2016-11-30,7.6023,7.7516,7.294,7.4808,2374001
2016-12-30,7.4808,8.0038,7.3874,7.6582,3467006
2017-01-31,7.6209,8.284,7.4061,7.9385,5385166
2017-02-28,7.9665,8.2093,7.5742,7.6582,3005121
2017-03-31,7.6582,8.2653,7.6209,7.8451,3033437
2017-04-28,7.8357,8.919,7.733,8.5921,5894854
2017-05-31,8.7976,8.9657,8.2933,8.7444,3453109
2017-06-30,8.9368,9.4274,8.754,9.3312,3241746
2017-07-31,9.4467,9.4467,8.8406,9.2158,2096220
2017-08-31,9.1388,9.552,8.35,9.524,2592188
2017-09-29,9.562,9.764,8.7156,9.0715,3023459
2017-10-31,9.0715,9.658,8.5135,8.6578,2341875
2017-11-30,8.8021,9.11,8.0325,8.7829,1457395
2017-12-29,8.7829,9.831,8.7156,9.4274,2130835
2018-01-31,9.4467,9.735,9.2639,9.4274,1712039
